Table Name,row,Default Priority,Longname,"description (appears as variable ""comment"" in CMIP6 netCDF files)",units,comment (not sure how this is used),"Notes, Corrections, & Questions",Notes/Questions category,Notes/Questions category (secondary),Notes/Questions category (tertiary),override default severity,# institutions reporting per out_name,# models reporting per out_name,error severity,CF Standard Name,original CMIP6 cell_methods,proposed modification of cell_methods,where rule,new cell_methods,"""where"" extraction","refine ""where"" extraction","""over"" extraction","refine ""over"" extraction","realm implied by ""over"" directive",areaLabelDD,areaLabelDD (more refined),new standard_name criteria for realm,new auto-assigned primary realm,"primary realm for ""nd"" and ""mr"" (by inspection)",composite primary realm,realmLabelDD,auto-assigned additional realm based on standard name,"concat auto-assigned additional realm based on ""over"" directive","expand secondary a and o to ap, ac,op, and oc",user-assigned additional realms,Secondary realm(s),realmsDD,CMIP6 attribute: positive,CMIP6 attribute: type,verticalLabelDD (preliminary),verticalLabelDD (secondary),"indicate ""surface snow"" variables",certain surface variables?,verticalLabelDD (tertiary),verticalLabelDD (by inspection),verticalLabelDD (final),verticalLabelDD (final),horizontalLabelDD,original CMIP6 dimensions,proposed change in dimensions,corrected CMIP6 dimensions,original CMOR entry label,original CMIP6 modeling_realm (1st listed is primary),original CMIP6 frequency,new frequency (intervalReportedDD),temporalLabelDD,cell_measures,"CMIP6 variable name (referred to as ""out_name""; also original ""root"" name)",original CMIP6 almost unique variable label,branded variable label (retaining old root names),proposed new roots,proposed branded variable label,length of old i.d.,length of branded name,larger by a factor of,new-old difference ,"1=ant/grn; 2=globe-avg; 3=dupl.; 4=diff; 5=mult,6= sampling, 7=other",duplicate branded variable names,CMIP6 original primary realm,CMIP6 original secondary realm,CMIP6 abbrev. Primary realm,CMIP6 abbrev. secondary realm,old & new primary realms different,new primary different from all old realms,old primary different from all new realms,variable registry root names,distinct root variable name,same std. name; different root variable name,distinct CMIP6 outnames,distinct standard names,why different variable root name needed?,use_stats variable identifier,corresponding row in use_stats table,download ranking,use_stats & this page consistency,"original: ""where"" extraction","original: refine ""where"" extraction","original: domain from ""where"" directive",,expanded frequency,temporal method,vertical coordinate information,horizontal coordinate information,"""area type"" restriction",definition_qualifier:  additional description of variable.,cleaned definition_qualifier (removing text in brackets from column just to the left),brand description: automatically generated based on branded variable information,"next-generation CMIP comment attribute for variable (constructed from original comment attribute appended to proposed ""definition_qualifier"" (NOTE: The text following the final ""::"" will need to be reviewed and edited.)",dataRegionDD,cleaned version of region,"preliminary long_name: replaces ""time"" with frequency reported ","long_name: adds to brand description both ""frequency"" and for non-global data, ""region"" labels",duplicate long names?,count number of variables with the same (old) label in rows above,table_id transferred from ESGF database,variable_id transferred from ESGF database,old variable label (from ESGF database),# models reporting variable listed in column DD,count number of variables consistent with ESGF label,# models reporting variable listed in column BH,unrequested variables,models/groups providing unrequested variables,variables that might change,subhr,1hr,3hr,6hr,day,mon,yr,dec,fx,all,,,3hr,6hrLev,6hrPlev,6hrPlevPt,AERday,AERhr,AERmon,AERmonZ,Amon,CF3hr,CFday,CFmon,CFsubhr,day,E1hr,E1hrClimMon,E3hr,E3hrPt,E6hrZ,Eday,EdayZ,Efx,Emon,EmonZ,Esubhr,Eyr,fx,IfxAnt,IfxGre,ImonAnt,ImonGre,IyrAnt,IyrGre,LImon,Lmon,Oclim,Oday,Odec,Ofx,Omon,Oyr,SIday,SImon,all,area type,,x,air,sea,land,sea_ice,ice_sheet,other,all,,priority 1,priority 2,priority 3,all,,,,,,,,,,,,,,,,,,,"length of original CMIP6 ""outname""","Exclude from variable registry.  No need to distinguish among variables in different ""regions"" (e.g., Antarctica and Greenland)",Modify dimensions.  No need for special horizontal coordinates. ,Modify dimensions.  Add or remove scalar coordinate.,Modify dimension.  Other,Check units.,Standard name issue.,Modiy root name.,"Deprecate? Eliminate one of ""point"" or ""mean"" variable options.",Depricate?  Few institutions contributed variable to CMIP6.,Eliminate or deprecate?  ,"Modify cell methods.  Include ""where air"".","Modify cell methods.  Include ""where sea"".",Modify cell methods.,number of correction/question error flags found,number of corrections/questions needing individual consideration,branding suffix,duplicate suffix?
Lmon,19,1,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),Percentage of grid cell burned due to all fires including natural and anthropogenic fires and those associated with anthropogenic Land-use change,%,Percentage of grid cell burned due to all fires including natural and anthropogenic fires and those associated with anthropogenic land use change,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Also, it seems to be redundant with monthly fracLut.  Consider eliminating scalar dimension.",elim?,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typeburnt,,longitude latitude time typeburnt,burntFractionAll,land,mon,mon,tavg,area: areacella,burntFractionAll,burntFractionAll-Lmon,burntFractionAll-mon-unknown-tavg-z0c-hxy,,burntFractionAll_tavg-z0-hxy-x,21,30,1.4,9,3,,land,,ld,,1,1,1,burntFractionAll,,XXXXX,26,12,area fraction,Lmon.burntFractionAll,missing,x,error1,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of burnt vegetation, of burnt vegetation,area fraction of burnt vegetation: time means reported on a 2-d spatial grid, of burnt vegetation :: Percentage of grid cell burned due to all fires including natural and anthropogenic fires and those associated with anthropogenic Land-use change,global,global,area fraction of burnt vegetation: monthly means reported on a 2-d spatial grid,area fraction of burnt vegetation: monthly means reported on a 2-d spatial grid,,0,Oyr,pcalc,pcalc-Oyr,12,1,12,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,p19,requested on 19 pressure levels,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,16,,,,,,,,,,9:Eliminate or deprecate?,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
Lmon,48,2,Percentage Cover by C3 Plant Functional Type,"Percentage of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).",%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Also, it seems to be redundant with monthly fracLut.  Consider eliminating scalar dimension.",elim?,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typec3pft,,longitude latitude time typec3pft,c3PftFrac,land,mon,mon,tavg,area: areacella,c3PftFrac,c3PftFrac-Lmon,c3PftFrac-mon-unknown-tavg-z0c-hxy,,c3PftFrac_tavg-z0-hxy-x,14,23,1.6,9,3,,land,,ld,,1,1,1,c3PftFrac,,XXXXX,27,12,area fraction,Lmon.c3PftFrac,missing,x,,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of C3 plant functional types, of C3 plant functional types,area fraction of C3 plant functional types: time means reported on a 2-d spatial grid," of C3 plant functional types :: Percentage of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).",global,global,area fraction of C3 plant functional types: monthly means reported on a 2-d spatial grid,area fraction of C3 plant functional types: monthly means reported on a 2-d spatial grid,,0,Oyr,bddtdisi,bddtdisi-Oyr,7,1,32,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,30,,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,9,,,,,,,,,,9:Eliminate or deprecate?,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
Lmon,49,2,Percentage Cover by C4 Plant Functional Type,Percentage of entire grid cell  that is covered by C4 PFTs (including grass and crops).,%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Also, it seems to be redundant with monthly fracLut.  Consider eliminating scalar dimension.",elim?,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typec4pft,,longitude latitude time typec4pft,c4PftFrac,land,mon,mon,tavg,area: areacella,c4PftFrac,c4PftFrac-Lmon,c4PftFrac-mon-unknown-tavg-z0c-hxy,,c4PftFrac_tavg-z0-hxy-x,14,23,1.6,9,3,,land,,ld,,1,1,1,c4PftFrac,,XXXXX,28,12,area fraction,Lmon.c4PftFrac,missing,x,,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of C4 plant functional types, of C4 plant functional types,area fraction of C4 plant functional types: time means reported on a 2-d spatial grid, of C4 plant functional types :: Percentage of entire grid cell  that is covered by C4 PFTs (including grass and crops).,global,global,area fraction of C4 plant functional types: monthly means reported on a 2-d spatial grid,area fraction of C4 plant functional types: monthly means reported on a 2-d spatial grid,,0,Oyr,physi,physi-Oyr,9,1,32,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,p27,requested on 27 pressure levels,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,9,,,,,,,,,,9:Eliminate or deprecate?,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
Lmon,15,1,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.,%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Also, it seems to be redundant with monthly fracLut.  Consider eliminating scalar dimension.",elim?,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typecrop,,longitude latitude time typecrop,cropFrac,land,mon,mon,tavg,area: areacella,cropFrac,cropFrac-Lmon,cropFrac-mon-unknown-tavg-z0c-hxy,,cropFrac_tavg-z0-hxy-x,13,22,1.7,9,3,,land,,ld,,1,1,1,cropFrac,,XXXXX,29,12,area fraction,Lmon.cropFrac,missing,x,error1,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of crops, of crops,area fraction of crops: time means reported on a 2-d spatial grid, of crops :: Percentage of entire grid cell  that is covered by crop.,global,global,area fraction of crops: monthly means reported on a 2-d spatial grid,area fraction of crops: monthly means reported on a 2-d spatial grid,,0,Oyr,opottempdiff,opottempdiff-Oyr,16,1,43,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,29,,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,8,,,,,,,,,,9:Eliminate or deprecate?,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
Eyr,6,2,Percentage Crop Cover,Percentage of entire grid cell  that is covered by crop.,%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Also, it seems to be redundant with monthly fracLut.  Consider eliminating scalar dimension.",elim?,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typecrop,,longitude latitude time typecrop,cropFrac,land,yr,yr,tavg,area: areacella,cropFrac,cropFrac-Eyr,cropFrac-yr-unknown-tavg-z0c-hxy,,cropFrac_tavg-z0-hxy-x,12,22,1.8,10,3,1,land,,ld,,1,1,1,cropFrac,1,,29,12,,Eyr.cropFrac,missing,x,,land over all_area_types time: mean,land,ld,ld --> x,annual, time means,, reported on a 2-d spatial grid,, of crops, of crops,area fraction of crops: time means reported on a 2-d spatial grid, of crops :: Percentage of entire grid cell  that is covered by crop.,global,global,area fraction of crops: annual means reported on a 2-d spatial grid,area fraction of crops: annual means reported on a 2-d spatial grid,,0,Oyr,tnkebto,tnkebto-Oyr,2,1,22,,,2,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,p39,requested on 39 pressure levels,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,8,,,,,,,,,,9:Eliminate or deprecate?,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
Emon,286,1,Percentage Cover by C3 Crops,Percentage of entire grid cell covered by C3 crops,%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Also, it seems to be redundant with monthly fracLut.  Consider eliminating scalar dimension.",elim?,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typec3crop,,longitude latitude time typec3crop,cropFracC3,land,mon,mon,tavg,area: areacella,cropFracC3,cropFracC3-Emon,cropFracC3-mon-unknown-tavg-z0c-hxy,,cropFracC3_tavg-z0-hxy-x,15,24,1.6,9,3,,land,,ld,,1,1,1,cropFracC3,,XXXXX,30,12,area fraction,Emon.cropFracC3,missing,x,error1,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of C3 crops, of C3 crops,area fraction of C3 crops: time means reported on a 2-d spatial grid, of C3 crops :: Percentage of entire grid cell covered by C3 crops,global,global,area fraction of C3 crops: monthly means reported on a 2-d spatial grid,area fraction of C3 crops: monthly means reported on a 2-d spatial grid,,0,Oyr,pbfe,pbfe-Oyr,12,1,24,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,51,,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,10,,,,,,,,,,9:Eliminate or deprecate?,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
Emon,287,1,Percentage Cover by C4 Crops,Percentage of entire grid cell covered by C4 crops,%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Also, it seems to be redundant with monthly fracLut.  Consider eliminating scalar dimension.",elim?,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typec4crop,,longitude latitude time typec4crop,cropFracC4,land,mon,mon,tavg,area: areacella,cropFracC4,cropFracC4-Emon,cropFracC4-mon-unknown-tavg-z0c-hxy,,cropFracC4_tavg-z0-hxy-x,15,24,1.6,9,3,,land,,ld,,1,1,1,cropFracC4,,XXXXX,31,12,area fraction,Emon.cropFracC4,missing,x,error1,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of C4 crops, of C4 crops,area fraction of C4 crops: time means reported on a 2-d spatial grid, of C4 crops :: Percentage of entire grid cell covered by C4 crops,global,global,area fraction of C4 crops: monthly means reported on a 2-d spatial grid,area fraction of C4 crops: monthly means reported on a 2-d spatial grid,,0,Oyr,dfe,dfe-Oyr,21,1,19,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,10,,,,,,,,,,9:Eliminate or deprecate?,,,12:Modify cell methods?,2,2,tavg-z0-hxy-x,yes
Eyr,19,1,Annual Gross Percentage That Was Transferred into This Tile from Other Land-Use Tiles,Cumulative percentage transitions over the year; note that percentage should be reported as a percentage of atmospheric grid cell,%,0,Shouldn't this have a different standard name?  Is this the difference between the area_fraction at the end and beginning of the year?  Possible standard names: area_fraction_change (units: %) or area_fraction_tendency (units: % s-1).  Is this variable needed if fracLut-tpt-z0-hxy-x (fracLut-Eyr) is provided?,?,stdNm,cell1,,missing,missing,4,area_fraction,area: mean where land over all_area_types time: sum,area: mean time: sum,4b,area: mean time: sum,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude landUse time,,longitude latitude landUse time,fracInLut,land,yr,yr,tsum,area: areacella,fracInLut,fracInLut-Eyr,fracInLut-yr-unknown-tsum-z0c-hxy,,fracInLut_tsum-z0-hxy-x,13,23,1.8,10,,,land,,ld,,1,1,1,fracInLut,,XXXXX,32,12,area fraction,Eyr.fracInLut,missing,x,error1,land over all_area_types time: sum,land,ld,ld --> x,annual, accumulations,, reported on a 2-d spatial grid,,???,???,area fraction???: accumulations reported on a 2-d spatial grid,??? :: Cumulative percentage transitions over the year; note that percentage should be reported as a percentage of atmospheric grid cell,global,global,area fraction???: annual accumulations reported on a 2-d spatial grid,area fraction???: annual accumulations reported on a 2-d spatial grid,,0,Oyr,ocontemprmadvect,ocontemprmadvect-Oyr,4,1,5,,,3,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,reported on ,,,,,,,XXX,x,z0,land over all_area_types time: sum,land,all_area_types time: sum,all_area_types,,ld,X,9,,,,,,5:Standard name issue.,,,,,,,12:Modify cell methods?,2,2,tsum-z0-hxy-x,
Emon,266,1,Percentage of Grid Cell for Each Land-Use Tile,"End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5*0.2 = 0.1)",%,0,"Comment appears to be wrong. Table name says monthly and time-average indicated, but description says end of year.  ",?,cell1,,,missing,missing,3,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude landUse time,,longitude latitude landUse time,fracLut,land,mon,mon,tavg,area: areacella,fracLut,fracLut-Emon,fracLut-mon-unknown-tavg-z0c-hxy,,fracLut_tavg-z0-hxy-x,12,21,1.8,9,,,land,,ld,,1,1,1,fracLut,,XXXXX,33,12,area fraction,Emon.fracLut,missing,x,error1,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of various land-use categories, of various land-use categories,area fraction of various land-use categories: time means reported on a 2-d spatial grid," of various land-use categories :: End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5*0.2 = 0.1)",global,global,area fraction of various land-use categories: monthly means reported on a 2-d spatial grid,area fraction of various land-use categories: monthly means reported on a 2-d spatial grid,,0,Oyr,ph,ph-Oyr,17,1,25,,,2,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,7,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-x,yes
Eyr,20,1,Percentage of Grid Cell for Each Land-Use Tile,"End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5*0.2 = 0.1)",%,0,,cell1,cell1,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: point,area: mean time: point,4b,area: mean time: point,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude landUse time1,,longitude latitude landUse time1,fracLut,land,yrPt,yr,tpt,area: areacella,fracLut,fracLut-Eyr,fracLut-yr-unknown-tpt-z0c-hxy,,fracLut_tpt-z0-hxy-x,11,20,1.8,9,,,land,,ld,,1,1,1,fracLut,1,,33,12,area fraction,Eyr.fracLut,missing,x,error1,land over all_area_types time: point,land,ld,ld --> x,annual, synoptic samples,, reported on a 2-d spatial grid,, of various land-use categories, of various land-use categories,area fraction of various land-use categories: synoptic samples reported on a 2-d spatial grid," of various land-use categories :: End of year values (not annual mean); note that percentage should be reported as percentage of land grid cell (example: frac_lnd = 0.5, frac_ocn = 0.5, frac_crop_lnd = 0.2 (of land portion of grid cell), then frac_lut(crop) = 0.5*0.2 = 0.1)",global,global,area fraction of various land-use categories: annual synoptic samples reported on a 2-d spatial grid,area fraction of various land-use categories: annual synoptic samples reported on a 2-d spatial grid,,0,Oyr,calc,calc-Oyr,13,1,17,,,2,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,land over all_area_types time: point,land,all_area_types time: point,all_area_types,,ld,X,7,,,,,,,,,,,,,12:Modify cell methods?,1,1,tpt-z0-hxy-x,yes
Eyr,18,1,Annual Gross Percentage of Land-Use Tile That Was Transferred into Other Land-Use Tiles,Cumulative percentage transitions over the year; note that percentage should be reported as percentage of atmospheric grid cell,%,0,Shouldn't this have a different standard name?,?,stdNm,cell1,,missing,missing,4,area_fraction,area: mean where land over all_area_types time: sum,area: mean time: sum,4b,area: mean time: sum,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude landUse time,,longitude latitude landUse time,fracOutLut,land,yr,yr,tsum,area: areacella,fracOutLut,fracOutLut-Eyr,fracOutLut-yr-unknown-tsum-z0c-hxy,,fracOutLut_tsum-z0-hxy-x,14,24,1.7,10,,,land,,ld,,1,1,1,fracOutLut,,XXXXX,34,12,XXX,Eyr.fracOutLut,missing,x,error1,land over all_area_types time: sum,land,ld,ld --> x,annual, accumulations,, reported on a 2-d spatial grid,,???,???,area fraction???: accumulations reported on a 2-d spatial grid,??? :: Cumulative percentage transitions over the year; note that percentage should be reported as percentage of atmospheric grid cell,global,global,area fraction???: annual accumulations reported on a 2-d spatial grid,area fraction???: annual accumulations reported on a 2-d spatial grid,1,0,Oyr,osaltpadvect,osaltpadvect-Oyr,20,1,5,,,3,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,land over all_area_types time: sum,land,all_area_types time: sum,all_area_types,,ld,X,10,,,,,,5:Standard name issue.,,,,,,,12:Modify cell methods?,2,2,tsum-z0-hxy-x,yes
Lmon,13,1,Natural Grass Area Percentage,Percentage of entire grid cell that is covered by natural grass.,%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Consider eliminating scalar dimension.",cell1,,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typenatgr,,longitude latitude time typenatgr,grassFrac,land,mon,mon,tavg,area: areacella,grassFrac,grassFrac-Lmon,grassFrac-mon-unknown-tavg-z0c-hxy,,grassFrac_tavg-z0-hxy-x,14,23,1.6,9,,,land,,ld,,1,1,1,grassFrac,,XXXXX,35,12,area fraction,Lmon.grassFrac,missing,x,error1,land over all_area_types time: mean,land,ld,ld --> x,monthly, time means,, reported on a 2-d spatial grid,, of natural grasses, of natural grasses,area fraction of natural grasses: time means reported on a 2-d spatial grid, of natural grasses :: Percentage of entire grid cell that is covered by natural grass.,global,global,area fraction of natural grasses: monthly means reported on a 2-d spatial grid,area fraction of natural grasses: monthly means reported on a 2-d spatial grid,,0,Oyr,po4,po4-Oyr,18,1,43,,,1,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,9,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-x,yes
Eyr,4,2,Natural Grass Area Percentage,Percentage of entire grid cell that is covered by natural grass.,%,0,"Should this be undefined where sea?  Should deprecate in favor of ""where all_area_types"".  Consider eliminating scalar dimension.",cell1,,,,missing,missing,1,area_fraction,area: mean where land over all_area_types time: mean,area: time: mean,4b,area: time: mean,x,x,x,x,,x,x,nd,x,,x,unknown,,,,,,unknown,0,real,z0X,z0X,x,,z0c,,z0c,z0,hxy,longitude latitude time typenatgr,,longitude latitude time typenatgr,grassFrac,land,yr,yr,tavg,area: areacella,grassFrac,grassFrac-Eyr,grassFrac-yr-unknown-tavg-z0c-hxy,,grassFrac_tavg-z0-hxy-x,13,23,1.8,10,,1,land,,ld,,1,1,1,grassFrac,1,,35,12,,Eyr.grassFrac,missing,x,,land over all_area_types time: mean,land,ld,ld --> x,annual, time means,, reported on a 2-d spatial grid,, of natural grasses, of natural grasses,area fraction of natural grasses: time means reported on a 2-d spatial grid, of natural grasses :: Percentage of entire grid cell that is covered by natural grass.,global,global,area fraction of natural grasses: annual means reported on a 2-d spatial grid,area fraction of natural grasses: annual means reported on a 2-d spatial grid,,0,Oyr,exparag,exparag-Oyr,1,1,22,,,1,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,,,,,,,,,XXX,x,z0,land over all_area_types time: mean,land,all_area_types time: mean,all_area_types,,ld,X,9,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-x,yes
